Topic,Words
22,"app, hang, glitch, technical, phone, technical glitch, open, work, glitches, fix"
16,"uninstalling, app, uninstall, notifications, uninstalling app, uninstall app, delete, uninstalled, remove, rat"
23,"uber, compare, compare uber, price, expensive, high, rapido, fare, high compare, uber rapido"
13,"extra, money, extra money, demand extra, demand, ask extra, extra cash, ask extra money, drivers, ask"
8,"app, customer, care, customer care, support, number, app customer, contact, issue, customer support"
-1,Un-clustered
-1,Un-clustered
0,"cancel, cancel ride, ride, drivers, driver, ask, book, cancellation, app, charge"
0,"cancel, cancel ride, ride, drivers, driver, ask, book, cancellation, app, charge"
5,"drivers, driver, service, rude, experience, customer, support, behaviour, complaint, behave"
-1,Un-clustered
0,"cancel, cancel ride, ride, drivers, driver, ask, book, cancellation, app, charge"
4,"cab, book, book cab, cancel, service, driver, drivers, time, cab driver, experience"
18,"accept, ride, time, accept ride, driver accept, drivers, driver, get ride, driver accept ride, never"
-1,Un-clustered
18,"accept, ride, time, accept ride, driver accept, drivers, driver, get ride, driver accept ride, never"
-1,Un-clustered
-1,Un-clustered
24,"cancel, rid, cancel rid, drivers, drivers cancel, keep cancel, drivers cancel rid, drivers keep, keep, drivers keep cancel"
0,"cancel, cancel ride, ride, drivers, driver, ask, book, cancellation, app, charge"
1,"fraud, ride, driver, customer, drivers, service, ask, money, scam, take"
8,"app, customer, care, customer care, support, number, app customer, contact, issue, customer support"
2,"book, driver, service, cab, paise, ride, app, chor, time, cancel"
21,"login, log, otp, verification, unable login, password, unable, number, able login, mobile"
6,"app, charge, show, extra, money, ride, fare, amount, price, uber"
-1,Un-clustered
18,"accept, ride, time, accept ride, driver accept, drivers, driver, get ride, driver accept ride, never"
2,"book, driver, service, cab, paise, ride, app, chor, time, cancel"
0,"cancel, cancel ride, ride, drivers, driver, ask, book, cancellation, app, charge"
30,"chat, support, chat bot, bot, customer, chatbot, issue, chat support, customer support, option"
5,"drivers, driver, service, rude, experience, customer, support, behaviour, complaint, behave"
2,"book, driver, service, cab, paise, ride, app, chor, time, cancel"
