Topic,Words
0,"cancel, ride, cancel ride, drivers, driver, book, cancellation, ask, charge, driver cancel"
1,"paise, krte, book, driver, mai, toh, krne, app, log, rha"
2,"cab, book cab, book, time, cancel, service, app, driver, cab driver, get"
3,"customer, care, support, customer care, service, customer support, customer service, issue, app, complaint"
4,"payment, pay, cash, pending, still, pay cash, online, show, amount, customer"
5,"extra, money, extra money, ask extra, ask, ask extra money, demand, drivers ask, drivers, drivers ask extra"
6,"fraud, scam, company, fraud app, fraud company, app, money, show, charge, customer"
7,"charge, extra, extra charge, charge extra, amount, driver charge, app, service, twice, customer"
8,"book, time, auto, app, price, book auto, accept book, show, time book, accept"
9,"postpaid, pay, money postpaid, money, payment, bill, cash, pay postpaid, postpaid service, postpaid bill"
10,"price, high, expensive, price high, compare, high price, costly, affordable, app, increase"
11,"uber, compare, compare uber, price, high, expensive, uber app, much, service, uber much"
12,"block, account, account block, block account, reason, unblock, without reason, without, permanently, block without"
13,"chennai, airport, bangalore, ask, extra, delhi, book, drivers, cab, station"
14,"service, service service, excellent, poor service, poor, service driver, thank, service ever, excellent service, driver"
15,"fare, increase, app, higher, show, estimate, charge, increase fare, fare app, estimate fare"
16,"order, dash, items, deliver, refund, store, delivery, chat, products, miss"
17,"accept ride, accept, ride, driver accept ride, driver accept, drivers accept ride, driver, experience, time, drivers accept"
18,"star, give, give star, zero star, one star, zero, single star, deserve, one, give zero"
19,"book ride, book, ride, ride book, try book, time, show, experience, app, try"
20,"rat, give, give rat, rat high, star rat, high, star, would, negative rat, negative"
21,"technical, glitch, technical glitch, show technical, show technical glitch, glitches, try, always show, always show technical, book ride"
22,"uninstall, uninstalling, uninstall app, uninstalling app, app, uninstalled, uninstalled app, service, go uninstall, customer"
23,"drivers, app, driver, experience, app drivers, drivers app, auto, rude, app driver, experience drivers"
24,"km, charge, kms, distance, charge km, km charge, price, travel, fare, km ride"
25,"rude, drivers, drivers rude, behaviour, driver, polite, rude drivers, talk, driver rude, language"
26,"login, otp, verification, call, unable login, unable, able login, call verification, login app, log"
27,"accept, request, accept request, location, time, drivers, driver, pickup, rid, refuse"
28,"location, map, locations, location app, app, wrong, show, work, doesnt, address"
29,"time, service, wait, time service, available, need, delivery, response, quick, service time"
30,"rupees, show rupees, rupees extra, extra rupees, extra, km, ask rupees, charge, show, take rupees"
31,"waste, waste app, waste waste, app waste, app, waste time, waste service, waste waste app, time waste, time"
32,"app, application, excellent, useless, useful, useless app, easy, useful app, great, user friendly"
33,"app, ride, ride app, waste, waste app, never, accept ride, accept, app app, get ride"
34,"cheat, cheaters, cheater, company, cheat customers, customers, pay, customer, driver, take"
35,"ac, kolkata, ac work, turn, turn ac, switch ac, cab, switch, work, refuse"
36,"scooter, electric, electric scooter, purchase, buy, purchase electric, months, pro, scooter book, refund"
37,"car, vehicle, cars, vehicles, available, get vehicle, auto, time, vehicle time, car available"
38,"location, drop, drop location, app, drivers, point, pick, driver, drop point, ask drop location"
39,"notifications, notification, spam, push, stop, send, push notifications, promotional, stop send, annoy"
40,"card, credit card, credit, payment, add, crash, error, try, card payment, able"
41,"route, long route, take, driver take, long, take long route, take long, longer, longer route, take longer"
42,"load, slow, time load, open, app, lag, much, take, time, slow app"
43,"emergency, emergency time, app, app emergency, trust, emergency app, trust app, time, work, ugc"
44,"refund, days, month, refund money, yet, give refund, customer, still, customer service, months"
45,"service, app service, app, service app, app customer service, app customer, customer service, app service app, useless, poor"
46,"price, ride, increase, ride show, show, price ride, amount, ride price, price increase, ride ride"
47,"estimate, fare, estimate fare, charge estimate, fare estimate, charge, fare charge, higher, charge estimate fare, higher estimate"
48,"deny duty, deny, duty, driver deny, driver deny duty, drivers deny, drivers deny duty, drivers, always deny, driver"
49,"auto, get auto, autos, auto service, find auto, get, available, find, auto need, autos available"
50,"show, amount, app show, show less, fare, book, less, app, different, reach destination"
